Species,Family,Vulnerability
Chromis viridis,Pomacentridae,0.566433482
Chrysiptera parasema,Pomacentridae,0.896930322
Dascyllus aruanus,Pomacentridae,0.566433482
Nemateleotris magnifica,Microdesmidae,0.684457552
Chrysiptera cyanea,Pomacentridae,0.739822889
Dascyllus trimaculatus,Pomacentridae,0.474403034
Amphiprion ocellaris,Pomacentridae,0.697218342
Synchiropus splendidus,Callionymidae,0.856098329
Sphaeramia nematoptera,Apogonidae,0.896930322
Pseudocheilinus hexataenia,Labridae,0.896930322
Chrysiptera hemicyanea,Pomacentridae,1.05708236
Centropyge bispinosa,Pomacanthidae,0.93823232
Salarias fasciatus,Blenniidae,1.040032259
Paracanthurus hepatus,Acanthuridae,1.518576518
Cryptocentrus cinctus,Gobiidae,1.025735724
Labroides dimidiatus,Labridae,0.474403034
Amphiprion frenatus,Pomacentridae,1.040032259
Synchiropus ocellatus,Callionymidae,0.813731443
Valenciennea strigata,Gobiidae,0.773362714
Zebrasoma velifer,Acanthuridae,0.946745513
Neoglyphidodon melas,Pomacentridae,0.672068471
Pictichromis porphyrea,Pseudochromidae,0.892266819
Dascyllus reticulatus,Pomacentridae,0.474403034
Neoglyphidodon nigroris,Pomacentridae,0.474403034
Acanthurus japonicus,Acanthuridae,1.004106115
Pholidichthys leucotaenia,Pholidichthyidae,0.925208328
Valenciennea puellaris,Gobiidae,1.000072459
Siganus vulpinus,Siganidae,0.566433482
Nemateleotris decora,Microdesmidae,1.088034187
Naso lituratus,Acanthuridae,0.946745513
Gobiodon histrio,Gobiidae,1.131941324
Abudefduf vaigiensis,Pomacentridae,0.684457552
Odonus niger,Balistidae,0.925208328
Pictichromis diadema,Pseudochromidae,0.93823232
Chelmon rostratus,Chaetodontidae,0.865631975
Heniochus acuminatus,Chaetodontidae,1.039230742
Amphiprion biaculeatus,Pomacentridae,0.93823232
Chrysiptera rex,Pomacentridae,0.566433482
Centropyge bicolor,Pomacanthidae,0.93823232
Echidna nebulosa,Muraenidae,1.568536837
Dendrochirus zebra,Scorpaenidae,1.088034187
Dascyllus melanurus,Pomacentridae,0.566433482
Plectorhinchus chaetodonoides,Haemulidae,1.281467644
Arothron nigropunctatus,Tetraodontidae,1.763957788
Coris gaimard,Labridae,1.039471138
Pterois volitans,Scorpaenidae,0.964207221
Pseudanthias squamipinnis,Anthiadidae,0.474403034
Halichoeres chrysus,Labridae,0.684457552
Amblyglyphidodon curacao,Pomacentridae,0.566433482
Oxycirrhites typus,Cirrhitidae,0.813731443
Exallias brevis,Blenniidae,1.328763074
Zebrasoma scopas,Acanthuridae,0.863725706
Ecsenius stigmatura,Blenniidae,0.883120322
Centropyge heraldi,Pomacanthidae,1.006363505
Ptereleotris zebra,Microdesmidae,1.313626253
Pomacentrus chrysurus,Pomacentridae,0.946745513
Pseudanthias pleurotaenia,Anthiadidae,0.626641404
Forcipiger flavissimus,Chaetodontidae,1.039230742
Novaculichthys taeniourus,Labridae,1.039471138
Amblyglyphidodon ternatensis,Pomacentridae,0.672068471
Halichoeres melanurus,Labridae,0.773362714
Signigobius biocellatus,Gobiidae,0.739822889
Amphiprion percula,Pomacentridae,1.131941324
Acanthochromis polyacanthus,Pomacentridae,1.11406992
Cirrhilabrus cyanopleura,Labridae,0.534564098
Acanthurus pyroferus,Acanthuridae,0.626641404
Ctenochaetus tominiensis,Acanthuridae,0.739822889
Amphiprion polymnus,Pomacentridae,0.773266067
Macropharyngodon meleagris,Labridae,0.773362714
Pomacanthus imperator,Pomacanthidae,1.000072459
Xanthichthys auromarginatus,Balistidae,0.93823232
Salarias ramosus,Blenniidae,1.040032259
Ptereleotris evides,Microdesmidae,0.896930322
Stonogobiops xanthorhinica,Gobiidae,0.892266819
Cryptocentrus leptocephalus,Gobiidae,0.813731443
Neoglyphidodon oxyodon,Pomacentridae,0.888262602
Centropyge ferrugata,Pomacanthidae,1.269189003
Paracheilinus carpenteri,Labridae,0.830836808
Chrysiptera talboti,Pomacentridae,0.397611445
Chaetodon xanthurus,Chaetodontidae,1.09854927
Centropyge vrolikii,Pomacanthidae,0.739822889
Halichoeres chloropterus,Labridae,0.650298167
Canthigaster valentini,Tetraodontidae,0.860782801
Rhinecanthus aculeatus,Balistidae,1.008375136
Pomacentrus simsiang,Pomacentridae,0.952240821
Pomacentrus moluccensis,Pomacentridae,0.650298167
Chaetodon kleinii,Chaetodontidae,1.09854927
Pomacentrus amboinensis,Pomacentridae,0.510034977
Gobiodon okinawae,Gobiidae,0.997605532
Dendrochirus brachypterus,Scorpaenidae,1.114141019
Rhinecanthus verrucosus,Balistidae,0.744121527
Valenciennea wardii,Gobiidae,0.691303598
Stegastes fasciolatus,Pomacentridae,0.727006783
Paracheilinus filamentosus,Labridae,0.76153889
Chaetodon auriga,Chaetodontidae,1.114141019
Cirrhilabrus lubbocki,Labridae,0.635864736
Amphiprion perideraion,Pomacentridae,0.697218342
Ostorhinchus cyanosoma,Apogonidae,0.931008903
Ptereleotris heteroptera,Microdesmidae,1.385131422
Chaetodon punctatofasciatus,Chaetodontidae,1.09854927
Chaetodon lunula,Chaetodontidae,1.114141019
Apolemichthys trimaculatus,Pomacanthidae,0.865631975
Chaetodontoplus caerulopunctatus,Pomacanthidae,0.87247104
