"species","p","s","v","cluster","label"
"Arothron nigropunctatus",1.43,1.80134844,1.763957788,"1","Highly Vulnerable"
"Echidna nebulosa",1.57,1.647681622,1.568536837,"1","Highly Vulnerable"
"Paracanthurus hepatus",2,2.142836226,1.518576518,"1","Highly Vulnerable"
"Ptereleotris heteroptera",1.86,1.782602458,1.385131422,"1","Highly Vulnerable"
"Exallias brevis",2.43,2.199616895,1.328763074,"2","Moderately Vulnerable"
"Ptereleotris zebra",1.86,1.647681622,1.313626253,"1","Highly Vulnerable"
"Plectorhinchus chaetodonoides",2,1.80134844,1.281467644,"1","Highly Vulnerable"
"Centropyge ferrugata",2.57,2.194641057,1.269189003,"2","Moderately Vulnerable"
"Amphiprion percula",2.57,2.047672511,1.131941324,"2","Moderately Vulnerable"
"Gobiodon histrio",2.57,2.047672511,1.131941324,"2","Moderately Vulnerable"
"Chaetodon auriga",2.14,1.711769859,1.114141019,"2","Moderately Vulnerable"
"Chaetodon lunula",2.14,1.711769859,1.114141019,"2","Moderately Vulnerable"
"Dendrochirus brachypterus",2.14,1.711769859,1.114141019,"2","Moderately Vulnerable"
"Acanthochromis polyacanthus",2,1.49107208,1.11406992,"2","Moderately Vulnerable"
"Chaetodon kleinii",2.29,1.834629509,1.09854927,"2","Moderately Vulnerable"
"Chaetodon xanthurus",2.29,1.834629509,1.09854927,"2","Moderately Vulnerable"
"Chaetodon punctatofasciatus",2.29,1.834629509,1.09854927,"2","Moderately Vulnerable"
"Nemateleotris decora",2.29,1.8207401,1.088034187,"2","Moderately Vulnerable"
"Dendrochirus zebra",2.29,1.8207401,1.088034187,"2","Moderately Vulnerable"
"Chrysiptera hemicyanea",2.57,1.966307222,1.05708236,"2","Moderately Vulnerable"
"Salarias fasciatus",2.43,1.868985896,1.040032259,"2","Moderately Vulnerable"
"Amphiprion frenatus",2.43,1.868985896,1.040032259,"2","Moderately Vulnerable"
"Salarias ramosus",2.43,1.868985896,1.040032259,"2","Moderately Vulnerable"
"Coris gaimard",2.14,1.588053032,1.039471138,"2","Moderately Vulnerable"
"Novaculichthys taeniourus",2.14,1.588053032,1.039471138,"2","Moderately Vulnerable"
"Forcipiger flavissimus",2.29,1.754848629,1.039230742,"2","Moderately Vulnerable"
"Heniochus acuminatus",2.29,1.754848629,1.039230742,"2","Moderately Vulnerable"
"Cryptocentrus cinctus",2.29,1.736158742,1.025735724,"2","Moderately Vulnerable"
"Rhinecanthus aculeatus",2.29,1.711769859,1.008375136,"2","Moderately Vulnerable"
"Centropyge heraldi",2.57,1.910546009,1.006363505,"2","Moderately Vulnerable"
"Acanthurus japonicus",2.71,1.962598793,1.004106115,"2","Moderately Vulnerable"
"Valenciennea puellaris",2.43,1.8207401,1.000072459,"2","Moderately Vulnerable"
"Pomacanthus imperator",2.43,1.8207401,1.000072459,"2","Moderately Vulnerable"
"Gobiodon okinawae",2.57,1.900856996,0.997605532,"2","Moderately Vulnerable"
"Pterois volitans",2.29,1.647681622,0.964207221,"2","Moderately Vulnerable"
"Pomacentrus simsiang",2.43,1.76172959,0.952240821,"2","Moderately Vulnerable"
"Naso lituratus",2.43,1.754848629,0.946745513,"2","Moderately Vulnerable"
"Pomacentrus chrysurus",2.43,1.754848629,0.946745513,"2","Moderately Vulnerable"
"Zebrasoma velifer",2.43,1.754848629,0.946745513,"2","Moderately Vulnerable"
"Xanthichthys auromarginatus",2.57,1.834629509,0.93823232,"2","Moderately Vulnerable"
"Pictichromis diadema",2.57,1.834629509,0.93823232,"2","Moderately Vulnerable"
"Centropyge bicolor",2.57,1.834629509,0.93823232,"2","Moderately Vulnerable"
"Amphiprion biaculeatus",2.57,1.834629509,0.93823232,"2","Moderately Vulnerable"
"Centropyge bispinosa",2.57,1.834629509,0.93823232,"2","Moderately Vulnerable"
"Ostorhinchus cyanosoma",2.29,1.597137753,0.931008903,"2","Moderately Vulnerable"
"Pholidichthys leucotaenia",2.29,1.588053032,0.925208328,"2","Moderately Vulnerable"
"Odonus niger",2.29,1.588053032,0.925208328,"2","Moderately Vulnerable"
"Ptereleotris evides",2.43,1.691341731,0.896930322,"2","Moderately Vulnerable"
"Sphaeramia nematoptera",2.43,1.691341731,0.896930322,"2","Moderately Vulnerable"
"Chrysiptera parasema",2.43,1.691341731,0.896930322,"2","Moderately Vulnerable"
"Pseudocheilinus hexataenia",2.43,1.691341731,0.896930322,"2","Moderately Vulnerable"
"Stonogobiops xanthorhinica",2.57,1.782602458,0.892266819,"2","Moderately Vulnerable"
"Pictichromis porphyrea",2.57,1.782602458,0.892266819,"2","Moderately Vulnerable"
"Neoglyphidodon oxyodon",2.71,1.841057547,0.888262602,"2","Moderately Vulnerable"
"Ecsenius stigmatura",2.43,1.67332822,0.883120322,"2","Moderately Vulnerable"
"Chaetodontoplus caerulopunctatus",2.57,1.759955424,0.87247104,"2","Moderately Vulnerable"
"Chelmon rostratus",2.71,1.817120593,0.865631975,"2","Moderately Vulnerable"
"Apolemichthys trimaculatus",2.71,1.817120593,0.865631975,"2","Moderately Vulnerable"
"Zebrasoma scopas",2.43,1.647681622,0.863725706,"2","Moderately Vulnerable"
"Canthigaster valentini",2.43,1.64375183,0.860782801,"2","Moderately Vulnerable"
"Synchiropus splendidus",2.57,1.741101127,0.856098329,"2","Moderately Vulnerable"
"Paracheilinus carpenteri",2.57,1.711769859,0.830836808,"2","Moderately Vulnerable"
"Synchiropus ocellatus",2.57,1.691726385,0.813731443,"2","Moderately Vulnerable"
"Oxycirrhites typus",2.57,1.691726385,0.813731443,"2","Moderately Vulnerable"
"Cryptocentrus leptocephalus",2.57,1.691726385,0.813731443,"2","Moderately Vulnerable"
"Macropharyngodon meleagris",2.57,1.64375183,0.773362714,"3","Least Vulnerable"
"Valenciennea strigata",2.57,1.64375183,0.773362714,"3","Least Vulnerable"
"Halichoeres melanurus",2.57,1.64375183,0.773362714,"3","Least Vulnerable"
"Amphiprion polymnus",2.86,1.759955424,0.773266067,"3","Least Vulnerable"
"Paracheilinus filamentosus",2.57,1.629498222,0.76153889,"3","Least Vulnerable"
"Rhinecanthus verrucosus",2.57,1.608311908,0.744121527,"3","Least Vulnerable"
"Ctenochaetus tominiensis",2.71,1.682426006,0.739822889,"3","Least Vulnerable"
"Centropyge vrolikii",2.71,1.682426006,0.739822889,"3","Least Vulnerable"
"Chrysiptera cyanea",2.71,1.682426006,0.739822889,"3","Least Vulnerable"
