species,PhV,GV
Arothron nigropunctatus,1.76,1.27
Echidna nebulosa,1.57,1.56
Paracanthurus hepatus,1.52,1.35
Ptereleotris heteroptera,1.39,0.40
Exallias brevis,1.33,1.44
Ptereleotris zebra,1.31,0.40
Plectorhinchus chaetodonoides,1.28,1.17
Centropyge ferrugata,1.27,1.05
Gobiodon histrio,1.13,0.98
Amphiprion percula,1.13,0.77
Chaetodon auriga,1.11,1.20
Dendrochirus brachypterus,1.11,1.06
Chaetodon lunula,1.11,1.20
Acanthochromis polyacanthus,1.11,0.46
Chaetodon kleinii,1.10,1.35
Chaetodon punctatofasciatus,1.10,1.35
Chaetodon xanthurus,1.10,1.35
Dendrochirus zebra,1.09,0.95
Nemateleotris decora,1.09,0.95
Chrysiptera hemicyanea,1.06,0.62
Amphiprion frenatus,1.04,0.67
Salarias ramosus,1.04,0.95
Salarias fasciatus,1.04,1.02
Novaculichthys taeniourus,1.04,1.06
Coris gaimard,1.04,1.06
Forcipiger flavissimus,1.04,0.81
Heniochus acuminatus,1.04,1.10
Cryptocentrus cinctus,1.03,0.94
Rhinecanthus aculeatus,1.01,0.95
Centropyge heraldi,1.01,0.81
Acanthurus japonicus,1.00,1.00
Valenciennea puellaris,1.00,0.85
Pomacanthus imperator,1.00,1.02
Gobiodon okinawae,1.00,0.98
Pterois volitans,0.96,0.95
Pomacentrus simsiang,0.95,0.47
Naso lituratus,0.95,1.02
Pomacentrus chrysurus,0.95,0.63
Zebrasoma velifer,0.95,1.02
Xanthichthys auromarginatus,0.94,0.65
Pictichromis diadema,0.94,1.00
Centropyge bispinosa,0.94,1.05
Amphiprion biaculeatus,0.94,0.62
Centropyge bicolor,0.94,0.92
Ostorhinchus cyanosoma,0.93,0.95
Odonus niger,0.93,0.95
Pholidichthys leucotaenia,0.93,0.77
Sphaeramia nematoptera,0.90,1.20
Chrysiptera parasema,0.90,0.67
Pseudocheilinus hexataenia,0.90,1.07
Ptereleotris evides,0.90,0.47
Stonogobiops xanthorhinica,0.89,0.65
Pictichromis porphyrea,0.89,0.65
Neoglyphidodon oxyodon,0.89,0.31
Ecsenius stigmatura,0.88,1.20
Chaetodontoplus caeruleopunctatus,0.87,1.38
Apolemichthys trimaculatus,0.87,0.63
Chelmon rostratus,0.87,0.74
Zebrasoma scopas,0.86,1.02
Canthigaster valentini,0.86,1.07
Synchiropus splendidus,0.86,0.73
Paracheilinus carpenteri,0.83,0.65
Cryptocentrus leptocephalus,0.81,0.64
Synchiropus ocellatus,0.81,0.64
Oxycirrhites typus,0.81,0.73
Halichoeres melanurus,0.77,0.74
Valenciennea strigata,0.77,0.74
Macropharyngodon meleagris,0.77,0.74
Amphiprion polymnus,0.77,0.51
Paracheilinus filamentosus,0.76,0.65
Rhinecanthus verrucosus,0.74,0.74
Signigobius biocellatus,0.74,0.47
Ctenochaetus tominiensis,0.74,0.43
Chrysiptera cyanea,0.74,0.47
Centropyge vrolikii,0.74,0.87
Stegastes fasciolatus,0.73,0.40
Amphiprion perideraion,0.70,0.51
Amphiprion ocellaris,0.70,0.62
Valenciennea wardii,0.69,0.40
Abudefduf vaigiensis,0.68,0.64
Nemateleotris magnifica,0.68,0.65
Halichoeres chrysus,0.68,0.65
Amblyglyphidodon ternatensis,0.67,0.39
Neoglyphidodon melas,0.67,0.39
Halichoeres chloropterus,0.65,0.74
Pomacentrus moluccensis,0.65,0.62
Cirrhilabrus lubbocki,0.64,0.85
Pseudanthias pleurotaenia,0.63,0.40
Acanthurus pyroferus,0.63,0.53
Chrysiptera rex,0.57,0.47
Chromis viridis,0.57,0.67
Amblyglyphidodon curacao,0.57,0.39
Dascyllus melanurus,0.57,0.57
Dascyllus aruanus,0.57,0.67
Siganus vulpinus,0.57,0.57
Cirrhilabrus cyanopleura,0.53,0.56
Pomacentrus amboinensis,0.51,0.31
Pseudanthias squamipinnis,0.47,0.40
Neoglyphidodon nigroris,0.47,0.30
Dascyllus reticulatus,0.47,0.57
Labroides dimidiatus,0.47,0.40
Dascyllus trimaculatus,0.47,0.57
Chrysiptera talboti,0.40,0.40
